source_id,filename,label,sequence,druid_no_audio
,fr537mg9514_69_a_pm.wav,"Tape 2, Side A",,
,fr537mg9514_69_a_sh.wav,"Tape 2, Side A",,
,fr537mg9514_69_a_sl.mp3,"Tape 2, Side A",3,
,fr537mg9514_69_b_pm.wav,"Tape 2, Side B",,
,fr537mg9514_69_b_sh.wav,"Tape 2, Side B",,
,fr537mg9514_69_b_sl.mp3,"Tape 2, Side B",4,
SC1017_s1_Bailey,gd137zh7596_15_a_pm.wav,"Tape 1, Side A",,
,gd137zh7596_15_a_sh.wav,"Tape 1, Side A",,
,gd137zh7596_15_a_sl.mp3,"Tape 1, Side A",1,
,gd137zh7596_15_b_pm.wav,"Tape 1, Side B",,
,gd137zh7596_15_b_sh.wav,"Tape 1, Side B",,
,gd137zh7596_15_b_sl.mp3,"Tape 1, Side B",2,
,gd137zh7596_16_a_pm.wav,"Tape 2, Side A",,
,gd137zh7596_16_a_sh.wav,"Tape 2, Side A",,
,gd137zh7596_16_a_sl.mp3,"Tape 2, Side A",3,
SC1017_s4_Hänsch,gf484jb0450_199_a_pm.wav,"Tape 1, Side A",,
,gf484jb0450_199_a_sh.wav,"Tape 1, Side A",,
,gf484jb0450_199_a_sl.mp3,"Tape 1, Side A",1,
,gf484jb0450_199_b_pm.wav,"Tape 1, Side B",,
,gf484jb0450_199_b_sh.wav,"Tape 1, Side B",,
,gf484jb0450_199_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Rosenzweig,gh039fs1531_118_a_pm.wav,"Tape 1, Side A",,
,gh039fs1531_118_a_sh.wav,"Tape 1, Side A",,
,gh039fs1531_118_a_sl.mp3,"Tape 1, Side A",1,
,gh039fs1531_118_b_pm.wav,"Tape 1, Side B",,
,gh039fs1531_118_b_sh.wav,"Tape 1, Side B",,
,gh039fs1531_118_b_sl.mp3,"Tape 1, Side B",2,
,gh039fs1531_119_a_pm.wav,"Tape 2, Side A",,
,gh039fs1531_119_a_sh.wav,"Tape 2, Side A",,
,gh039fs1531_119_a_sl.mp3,"Tape 2, Side A",3,
,gh039fs1531_120_a_pm.wav,"Tape 3, Side A",,
,gh039fs1531_120_a_sh.wav,"Tape 3, Side A",,
,gh039fs1531_120_a_sl.mp3,"Tape 3, Side A",4,
,gh039fs1531_120_b_pm.wav,"Tape 3, Side B",,
,gh039fs1531_120_b_sh.wav,"Tape 3, Side B",,
,gh039fs1531_120_b_sl.mp3,"Tape 3, Side B",5,
,gh039fs1531_121_a_pm.wav,"Tape 4, Side A",,
,gh039fs1531_121_a_sh.wav,"Tape 4, Side A",,
,gh039fs1531_121_a_sl.mp3,"Tape 4, Side A",6,
,gh039fs1531_121_b_pm.wav,"Tape 4, Side B",,
,gh039fs1531_121_b_sh.wav,"Tape 4, Side B",,
,gh039fs1531_121_b_sl.mp3,"Tape 4, Side B",7,
,gh039fs1531_122_a_pm.wav,"Tape 5, Side A",,
,gh039fs1531_122_a_sh.wav,"Tape 5, Side A",,
,gh039fs1531_122_a_sl.mp3,"Tape 5, Side A",8,
SC1017_s5_Howard,gk128tg7569_215_a_pm.wav,"Tape 1, Side A",,
,gk128tg7569_215_a_sh.wav,"Tape 1, Side A",,
,gk128tg7569_215_a_sl.mp3,"Tape 1, Side A",1,
SC1017_s1_Wiggins,gk331ym6149_147_a_pm.wav,"Tape 1, Side A",,
,gk331ym6149_147_a_sh.wav,"Tape 1, Side A",,
,gk331ym6149_147_a_sl.mp3,"Tape 1, Side A",1,
,gk331ym6149_147_b_pm.wav,"Tape 1, Side B",,
,gk331ym6149_147_b_sh.wav,"Tape 1, Side B",,
,gk331ym6149_147_b_sl.mp3,"Tape 1, Side B",2,
